         88129 function calls (86995 primitive calls) in 0.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      171    0.000    0.000    0.000    0.000 managers.py:2004(internal_values)
       18    0.000    0.000    0.000    0.000 _encode.py:236(_check_unknown)
      106    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      111    0.000    0.000    0.000    0.000 fromnumeric.py:53(_wrapfunc)
       44    0.000    0.000    0.000    0.000 blocks.py:2716(new_block)
      225    0.000    0.000    0.000    0.000 validation.py:2155(_is_pandas_df_or_series)
       56    0.000    0.000    0.000    0.000 config.py:127(_get_single_key)
      422    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      118    0.000    0.000    0.000    0.000 common.py:1434(_is_dtype_type)
       65    0.000    0.000    0.000    0.000 frame.py:1047(shape)
       78    0.000    0.000    0.000    0.000 _array_api.py:170(supported_float_dtypes)
        1    0.000    0.000    0.001    0.001 core.py:3051(get_feature_importance)
       27    0.000    0.000    0.000    0.000 __init__.py:290(__getattr__)
       94    0.000    0.000    0.000    0.000 base.py:7593(ensure_index)
       12    0.000    0.000    0.000    0.000 inspect.py:2935(apply_defaults)
       69    0.000    0.000    0.000    0.000 _array_api.py:312(reshape)
       13    0.000    0.000    0.000    0.000 data.py:68(_array_interface)
       85    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
  358/125    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
       27    0.000    0.000    0.001    0.000 extmath.py:1243(_nanaverage)
       21    0.000    0.000    0.000    0.000 arraysetops.py:898(union1d)
       54    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       14    0.000    0.000    0.000    0.000 {built-in method catboost._catboost._reset_logger}
      250    0.000    0.000    0.000    0.000 base.py:909(__len__)
      177    0.000    0.000    0.000    0.000 __init__.py:167(__ge__)
       12    0.000    0.000    0.000    0.000 blocks.py:2703(new_block_2d)
       25    0.000    0.000    0.001    0.000 frame.py:4626(_get_item_cache)
       56    0.000    0.000    0.000    0.000 blocks.py:2645(maybe_coerce_values)
        6    0.000    0.000    0.000    0.000 cast.py:124(maybe_convert_platform)
       47    0.000    0.000    0.000    0.000 generic.py:807(_set_axis)
       96    0.000    0.000    0.000    0.000 _array_api.py:123(isdtype)
